Type    	Bid     	Ask     	Spot    	Strike  	Rate    	DaysToMaturity      	ImpliedVolatility   	BisectionVol        	SecantVol           
Call    	5.45    	5.6     	158.28  	155     	0.0099  	29                  	0.2084              	0.202148            	0.20274             
Call    	2.73    	2.82    	158.28  	160     	0.0099  	29                  	0.1986              	0.196289            	0.196508            
Call    	1.18    	1.25    	158.28  	165     	0.0099  	29                  	0.1987              	0.198242            	0.197508            
Call    	0.78    	0.84    	158.28  	167.5   	0.0099  	29                  	0.2037              	0.202148            	0.202874            
Call    	0.35    	0.38    	158.28  	172.5   	0.0099  	29                  	0.2153              	0.21582             	0.215493            
Put     	0.37    	0.41    	158.28  	145     	0.0099  	29                  	0.2275              	0.229492            	0.230062            
Put     	0.61    	0.65    	158.28  	148     	0.0099  	29                  	0.2139              	0.217773            	0.217072            
Put     	0.86    	0.92    	158.28  	150     	0.0099  	29                  	0.208               	0.209961            	0.210825            
Put     	1.34    	1.4     	158.28  	152.5   	0.0099  	29                  	0.2009              	0.204102            	0.204507            
Put     	2.04    	2.09    	158.28  	155     	0.0099  	29                  	0.1947              	0.199219            	0.199184            
Put     	3       	3.05    	158.28  	157.5   	0.0099  	29                  	0.1898              	0.194336            	0.194831            
Put     	5.8     	6.05    	158.28  	162.5   	0.0099  	29                  	0.1935              	0.194336            	0.19447             
